onset	duration	trial_type	value	sample
1085.7923258823528	0.0999755859375	Fixation	1	1085154
1086.1925611764705	0.10009765625	ISI Onset	3	1085554
1086.880965882353	0.0999755859375	Go Cue	2	1086242
1087.2771988235293	0.0999755859375	Response	4	1086638
1092.8834947058822	0.0999755859375	Fixation	1	1092241
1093.3837888235294	0.0999755859375	ISI Onset	3	1092741
1094.0721935294116	0.10009765625	Go Cue	2	1093429
1094.5054482352941	0.0999755859375	Response	4	1093862
1100.074722352941	0.0999755859375	Fixation	1	1099428
1100.3748988235293	0.0999755859375	ISI Onset	3	1099728
1101.061302352941	0.0999755859375	Go Cue	2	1100414
1101.3924970588234	0.10009765625	Response	4	1100745
1107.0648317647058	0.0999755859375	Fixation	1	1106414
1107.7652435294117	0.0999755859375	ISI Onset	3	1107114
1108.4516470588235	0.0999755859375	Go Cue	2	1107800
1108.8298694117645	0.0999755859375	Response	4	1108178
1114.4561770588234	0.0999755859375	Fixation	1	1113801
1114.9564711764706	0.10009765625	ISI Onset	3	1114301
1115.3406970588235	0.0999755859375	Go Cue	2	1114685
1115.675894117647	0.0999755859375	Response	4	1115020
1121.3462276470586	0.0999755859375	Fixation	1	1120687
1121.646404117647	0.10009765625	ISI Onset	3	1120987
1122.13269	0.0999755859375	Go Cue	2	1121473
1122.5609417647058	0.0999755859375	Response	4	1121901
1128.1372199999998	0.0999755859375	Fixation	1	1127474
1128.5374552941175	0.0999755859375	ISI Onset	3	1127874
1129.1237999999998	0.0999755859375	Go Cue	2	1128460
1129.4790088235293	0.0999755859375	Response	4	1128815
1135.1273294117645	0.0999755859375	Fixation	1	1134460
1135.727682352941	0.0999755859375	ISI Onset	3	1135060
1136.4140858823528	0.0999755859375	Go Cue	2	1135746
1136.7262694117646	0.0999755859375	Response	4	1136058
1142.418615882353	0.10009765625	Fixation	1	1141747
1142.8188511764704	0.0999755859375	ISI Onset	3	1142147
1143.3021352941175	0.0999755859375	Go Cue	2	1142630
1143.715378235294	0.10009765625	Response	4	1143043
1149.3096670588234	0.0999755859375	Fixation	1	1148634
1149.9100199999998	0.0999755859375	ISI Onset	3	1149234
1150.1961882352941	0.0999755859375	Go Cue	2	1149520
1150.5884188235293	0.10009765625	Response	4	1149912
1156.1997176470588	0.0999755859375	Fixation	1	1155520
1156.5999529411763	0.0999755859375	ISI Onset	3	1155920
1156.8871217647059	0.10009765625	Go Cue	2	1156207
1157.336385882353	0.0999755859375	Response	4	1156656
1162.889650588235	0.0999755859375	Fixation	1	1162206
1163.4900035294118	0.0999755859375	ISI Onset	3	1162806
1164.1774076470588	0.10009765625	Go Cue	2	1163493
1164.569638235294	0.10009765625	Response	4	1163885
1170.1809370588235	0.0999755859375	Fixation	1	1169493
1170.5811723529412	0.0999755859375	ISI Onset	3	1169893
1170.9643976470588	0.10009765625	Go Cue	2	1170276
1171.3456217647058	0.10009765625	Response	4	1170657
1176.9719294117647	0.0999755859375	Fixation	1	1176280
1177.3721647058824	0.0999755859375	ISI Onset	3	1176680
1177.85745	0.0999755859375	Go Cue	2	1177165
1178.204654117647	0.0999755859375	Response	4	1177512
1183.86198	0.10009765625	Fixation	1	1183166
1184.362274117647	0.0999755859375	ISI Onset	3	1183666
1184.9486188235294	0.0999755859375	Go Cue	2	1184252
1185.4048870588235	0.0999755859375	Response	4	1184708
1190.9531488235293	0.0999755859375	Fixation	1	1190253
1191.4534429411763	0.0999755859375	ISI Onset	3	1190753
1191.741612352941	0.0999755859375	Go Cue	2	1191041
1192.1748670588233	0.0999755859375	Response	4	1191474
1197.7431405882353	0.0999755859375	Fixation	1	1197039
1198.2434347058822	0.0999755859375	ISI Onset	3	1197539
1198.9318394117647	0.0999755859375	Go Cue	2	1198227
1199.3330752941176	0.0999755859375	Response	4	1198628
1204.934368235294	0.10009765625	Fixation	1	1204226
1205.6347799999999	0.0999755859375	ISI Onset	3	1204926
1205.920948235294	0.10009765625	Go Cue	2	1205212
1206.3491999999999	0.0999755859375	Response	4	1205640
1211.9244776470587	0.10009765625	Fixation	1	1211212
1212.524830588235	0.10009765625	ISI Onset	3	1211812
1213.1111752941176	0.0999755859375	Go Cue	2	1212398
1213.4533764705882	0.0999755859375	Response	4	1212740
1219.1157052941176	0.0999755859375	Fixation	1	1218399
1219.8161170588235	0.0999755859375	ISI Onset	3	1219099
1220.3024029411763	0.0999755859375	Go Cue	2	1219585
1220.6225911764705	0.0999755859375	Response	4	1219905
1226.305932352941	0.0999755859375	Fixation	1	1225585
1226.6061088235292	0.0999755859375	ISI Onset	3	1225885
1226.9923358823528	0.0999755859375	Go Cue	2	1226271
1227.4075799999998	0.0999755859375	Response	4	1226686
1232.996865882353	0.10009765625	Fixation	1	1232272
1233.3971011764704	0.0999755859375	ISI Onset	3	1232672
1234.085505882353	0.10009765625	Go Cue	2	1233360
1234.4987488235292	0.0999755859375	Response	4	1233773
1240.087034117647	0.0999755859375	Fixation	1	1239358
1240.6873870588233	0.0999755859375	ISI Onset	3	1239958
1241.073614117647	0.0999755859375	Go Cue	2	1240344
1241.4708476470587	0.0999755859375	Response	4	1240741
1247.078144117647	0.0999755859375	Fixation	1	1246345
1247.578438235294	0.0999755859375	ISI Onset	3	1246845
1247.9636647058824	0.10009765625	Go Cue	2	1247230
1248.3618988235294	0.0999755859375	Response	4	1247628
1253.9852047058823	0.0999755859375	Fixation	1	1253248
1254.2853811764705	0.0999755859375	ISI Onset	3	1253548
1254.7546570588233	0.0999755859375	Go Cue	2	1254017
